text,topic,sentiment,annotator,confidence,match_key,match_text,source,date,channel,product,language,clean_text,match_score
i am writing to seek urgent assistance regarding my inability to log in to the on my phone i have forgotten the password for my mobile banking account and consequently i am currently locked out of the application you please provide me with the necessary steps to reset my password or initiate the recovery process i would appreciate it if you could guide me through the required procedure whether it can be done directly through the app your website or if i need to speak with a representative account details are as follows please verify my identity using the information on file name accountnumber with the phone let me know how best to proceed to regain access to my mobile banking services as quickly as possible you for your prompt attention to this matter,Mobile Banking App,negative,annotator_1,high,i am writing to seek urgent assistance regarding my inability to log in to the on my phone i have forgotten the password for my mobile banking account and consequently i am currently locked out of the application you please provide me with the necessary steps to reset my password or initiate the recovery process i would appreciate it if you could guide me through the required procedure whether it can be done directly through the app your website or if i need to speak with a representative account details are as follows please verify my identity using the information on file name accountnumber with the phone let me know how best to proceed to regain access to my mobile banking services as quickly as possible you for your prompt attention to this matter,i am writing to seek urgent assistance regarding my inability to log in to the on my phone i have forgotten the password for my mobile banking account and consequently i am currently locked out of the application you please provide me with the necessary steps to reset my password or initiate the recovery process i would appreciate it if you could guide me through the required procedure whether it can be done directly through the app your website or if i need to speak with a representative account details are as follows please verify my identity using the information on file name accountnumber with the phone let me know how best to proceed to regain access to my mobile banking services as quickly as possible you for your prompt attention to this matter,CRM Tool,04/11/2025 00:00,Service Email,Mobile,english,i am writing to seek urgent assistance regarding my inability to log in to the on my phone i have forgotten the password for my mobile banking account and consequently i am currently locked out of the application you please provide me with the necessary steps to reset my password or initiate the recovery process i would appreciate it if you could guide me through the required procedure whether it can be done directly through the app your website or if i need to speak with a representative account details are as follows please verify my identity using the information on file name accountnumber with the phone let me know how best to proceed to regain access to my mobile banking services as quickly as possible you for your prompt attention to this matter,99.73787680209698
name seem to neglect your duty to give the best because why would you take long to solve so mere technical issue with my app instead of programming some responses is whatever i get everyday after you promise to give the best,Mobile Banking App,negative,annotator_1,high,name seem to neglect your duty to give the best because why would you take long to solve so mere technical issue with my app instead of programming some responses is whatever i get everyday after you promise to give the best,name seem to neglect your duty to give the best because why would you take long to solve so mere technical issue with my app instead of programming some responses is whatever i get everyday after you promise to give the best,CRM Tool,05/11/2025 00:00,Service Email,Mobile,english,seem to neglect your duty to give the best because why would you take long to solve so mere technical issue with my app instead of programming some responses is whatever i get everyday after you promise to give the best,98.24561403508771
  namere seeking your assistance in providing a proof of depositcreditfrom the beneficiary bank as the sender is claiming that the funds have not been deposited into their receivers bank account  digitdigit tracking number mtcnaccountnumber date and time zonenov est countryname and currency to be delivered kes beneficiarys m numberibanaccountnumber namekenya commercial bank facilitate this process please confirm the following details within hours date transfer reference number  for working with us on this t information transmitted including any content in this communication is confidential is intended only for the use of the intended recipient and is the property of company or its affiliates and subsidiaries you are not the intended recipient you are hereby notified that any use of the information contained in or transmitted with the communication or dissemination distribution or copying of this communication is strictly prohibited you have received this communication in error please notify the sender immediately by replying to this message and deleting the original message,Payments,negative,annotator_1,high,namere seeking your assistance in providing a proof of depositcreditfrom the beneficiary bank as the sender is claiming that the funds have not been deposited into their receivers bank account  digitdigit tracking number mtcnaccountnumber date and time zonenov est countryname and currency to be delivered kes beneficiarys m numberibanaccountnumber namekenya commercial bank facilitate this process please confirm the following details within hours date transfer reference number  for working with us on this t information transmitted including any content in this communication is confidential is intended only for the use of the intended recipient and is the property of company or its affiliates and subsidiaries you are not the intended recipient you are hereby notified that any use of the information contained in or transmitted with the communication or dissemination distribution or copying of this communication is strictly prohibited you have received this communication in error please notify the sender immediately by replying to this message and deleting the original message,namere seeking your assistance in providing a proof of depositcreditfrom the beneficiary bank as the sender is claiming that the funds have not been deposited into their receivers bank account  digitdigit tracking number mtcnaccountnumber date and time zonenov est countryname and currency to be delivered kes beneficiarys m numberibanaccountnumber namekenya commercial bank facilitate this process please confirm the following details within hours date transfer reference number  for working with us on this t information transmitted including any content in this communication is confidential is intended only for the use of the intended recipient and is the property of company or its affiliates and subsidiaries you are not the intended recipient you are hereby notified that any use of the information contained in or transmitted with the communication or dissemination distribution or copying of this communication is strictly prohibited you have received this communication in error please notify the sender immediately by replying to this message and deleting the original message,CRM Tool,05/12/2025 00:00,Service Email,Thunes,english,namere seeking your assistance in providing a proof of depositcredit the beneficiary bank as the sender is claiming that the funds have not been deposited into their receivers bank account digitdigit tracking number mtcn date and time zone est country and currency to be delivered kes beneficiarys m numberiban name commercial bank facilitate this process please confirm the following details within hours date transfer reference number for working with us on this t information transmitted including any content in this communication is confidential is intended only for the use of the intended recipient and is the property of company or its affiliates and subsidiaries you are not the intended recipient you are hereby notified that any use of the information contained in or transmitted with the communication or dissemination distribution or copying of this communication is strictly prohibited you have received this communication in error please notify the sender immediately by replying to this message and deleting the original message,88.44262295081967
  reminder on resolving this issue of payment on sms showed exactly rwf however usd was actually deducted from my account as shown on my statement can over usd equivalent to about be refunded manager at confirmed that the money received on his back end was rwf only on your kind attention to my request which no responsehas been made for over a month down the line regards message rose munyiri email at pm charging on my card email customer service team i just arrived in and at supermarketbought bread valued at rwf which is less thanusd as per the attachedreceipts checking my statement i see usd has been deducted and paid to are my account details rectify the overcharge of at least usd regards,Acccount Issues,negative,annotator_1,high,reminder on resolving this issue of payment on sms showed exactly rwf however usd was actually deducted from my account as shown on my statement can over usd equivalent to about be refunded manager at confirmed that the money received on his back end was rwf only on your kind attention to my request which no responsehas been made for over a month down the line regards message rose munyiri email at pm charging on my card email customer service team i just arrived in and at supermarketbought bread valued at rwf which is less thanusd as per the attachedreceipts checking my statement i see usd has been deducted and paid to are my account details rectify the overcharge of at least usd regards,reminder on resolving this issue of payment on sms showed exactly rwf however usd was actually deducted from my account as shown on my statement can over usd equivalent to about be refunded manager at confirmed that the money received on his back end was rwf only on your kind attention to my request which no responsehas been made for over a month down the line regards message rose munyiri email at pm charging on my card email customer service team i just arrived in and at supermarketbought bread valued at rwf which is less thanusd as per the attachedreceipts checking my statement i see usd has been deducted and paid to are my account details rectify the overcharge of at least usd regards,CRM Tool,19/11/2025 00:00,Service Email,Card Online Disputes,english,name name reminder on resolving this issue of payment on sms showed exactly rwf however usd was actually deducted from my account as shown on my statement can over usd equivalent to about be refunded manager at confirmed that the money received on his back end was rwf only on your kind attention to my request which no response been made for over a month down the line regards message rose munyiri email at pm charging on my card email customer service team i just arrived in and at supermarket bread valued at rwf which is less than as per the attached checking my statement i see usd has been deducted and paid to are my account details rectify the overcharge of at least usd regards,97.07112970711297
 a member of you service and am trying to open my mobile app but having problem that my sim card was recenty swapped i would likely need you assistance to be able to register for the mobile app you in advance and hope you have a blessed day,Mobile Banking App,negative,annotator_1,high,a member of you service and am trying to open my mobile app but having problem that my sim card was recenty swapped i would likely need you assistance to be able to register for the mobile app you in advance and hope you have a blessed day,a member of you service and am trying to open my mobile app but having problem that my sim card was recenty swapped i would likely need you assistance to be able to register for the mobile app you in advance and hope you have a blessed day,CRM Tool,25/11/2025 00:00,Service Email,Mobile,english,namename a member of you service and am trying to open my mobile app but having problem that my sim card was recenty swapped i would likely need you assistance to be able to register for the mobile app you in advance and hope you have a blessed day,97.35234215885947
 a payment was made to my account from but i am yetto receive iti would like to know what is going onname payment was made lastweek accountnumber idnumber,Payments,negative,annotator_1,high,a payment was made to my account from but i am yetto receive iti would like to know what is going onname payment was made lastweek accountnumber idnumber,a payment was made to my account from but i am yetto receive iti would like to know what is going onname payment was made lastweek accountnumber idnumber,CRM Tool,03/12/2025 00:00,Service Email,SWIFT,english,name a payment was made to my account from but i am yet receive iti would like to know what is going onname payment was made last accountnumber idnumber,90.2654867256637
 above amex card of musa electronics had a daily limit of and and a frequency of th i requested for a permanent amendment to a limit of and frequencies through mtwapa branchname that wasnt effected th i did another permanent request through the same mtwapa branch and frequencies but not only wasnt amended but learnt the card was disabled th i tried to withdraw but couldnt at atm but urgently assist where necessary and advise once its sorted i filled the amendment forms twice at the mtwapa branch organise conquer,Cards,negative,annotator_1,high,above amex card of musa electronics had a daily limit of and and a frequency of th i requested for a permanent amendment to a limit of and frequencies through mtwapa branchname that wasnt effected th i did another permanent request through the same mtwapa branch and frequencies but not only wasnt amended but learnt the card was disabled th i tried to withdraw but couldnt at atm but urgently assist where necessary and advise once its sorted i filled the amendment forms twice at the mtwapa branch organise conquer,above amex card of musa electronics had a daily limit of and and a frequency of th i requested for a permanent amendment to a limit of and frequencies through mtwapa branchname that wasnt effected th i did another permanent request through the same mtwapa branch and frequencies but not only wasnt amended but learnt the card was disabled th i tried to withdraw but couldnt at atm but urgently assist where necessary and advise once its sorted i filled the amendment forms twice at the mtwapa branch organise conquer,CRM Tool,06/11/2025 00:00,Service Email,Credit Cards,english,namename above amex card of musa electronics had a daily limit of and a frequency of th i requested for a permanent amendment to a limit of and frequencies through mtwapa branchname that wasnt effected th i did another permanent request through the same mtwapa branch and frequencies but not only wasnt amended but learnt the card was disabled th i tried to withdraw but couldnt at atm but urgently assist where necessary and advise once its sorted i filled the amendment forms twice at the mtwapa branch organise conquer,98.75598086124401
 account number accountnumber with bank  branchiam a principal county i report that not happy the way i have been handled with the above reference i have an issue of double deduction from my payslip but iam really disappointed the way he handled meadvice him to read and understand bank ethics i have not been assisted for reversal,Customer Service,negative,annotator_1,high,account number accountnumber with bank  branchiam a principal county i report that not happy the way i have been handled with the above reference i have an issue of double deduction from my payslip but iam really disappointed the way he handled meadvice him to read and understand bank ethics i have not been assisted for reversal,account number accountnumber with bank  branchiam a principal county i report that not happy the way i have been handled with the above reference i have an issue of double deduction from my payslip but iam really disappointed the way he handled meadvice him to read and understand bank ethics i have not been assisted for reversal,CRM Tool,20/11/2025 00:00,Service Email,Personal/Salary Loans,english,odera account number accountnumber with bank mbale branchiam a principal of ekamanji school vihiga county i report that not happy the way i have been handled with the above reference i have an issue of double deduction from my payslip but iam really disappointed the way he handled meadvice him to read and understand bank ethics i have not been assisted for reversal,94.54022988505747
 and ltd po w email approve this reversal request customer is unavailable on phone for two days now pwebiller transaction pm pm pm i have contacted the merchant on accountnumber onpm but the phone is still unavailable nameate pm i have contacted the merchant on accountnumber on am but the phone is unavailable nameate pm have received below dispute seek approval from the to have funds accountnumber accountnumber accountnumber names accountnumber amp nov cdci tkazrqm branch note approval is granted reassign to gpcname for reversal gpc note ensure you lift the lien associated with this transaction after reversal for,Payments,negative,annotator_1,high,and ltd po w email approve this reversal request customer is unavailable on phone for two days now pwebiller transaction pm pm pm i have contacted the merchant on accountnumber onpm but the phone is still unavailable nameate pm i have contacted the merchant on accountnumber on am but the phone is unavailable nameate pm have received below dispute seek approval from the to have funds accountnumber accountnumber accountnumber names accountnumber amp nov cdci tkazrqm branch note approval is granted reassign to gpcname for reversal gpc note ensure you lift the lien associated with this transaction after reversal for,and ltd po w email approve this reversal request customer is unavailable on phone for two days now pwebiller transaction pm pm pm i have contacted the merchant on accountnumber onpm but the phone is still unavailable nameate pm i have contacted the merchant on accountnumber on am but the phone is unavailable nameate pm have received below dispute seek approval from the to have funds accountnumber accountnumber accountnumber names accountnumber amp nov cdci tkazrqm branch note approval is granted reassign to gpcname for reversal gpc note ensure you lift the lien associated with this transaction after reversal for,CRM Tool,10/11/2025 00:00,Phone,PWE/BILLER Transactions,english,name and ltd po w email approve this reversal request customer is unavailable on phone for two days now pwebiller transaction pm i have contacted the merchant on accountnumber onpm but the phone is still unavailable nameate pm i have contacted the merchant on accountnumber on am but the phone is unavailable nameate pm have received below dispute seek approval from the to have funds accountnumber names accountnumber amp nov cdci tkazrqm branch note approval is granted reassign to gpc for reversal gpc note ensure you lift the lien associated with this transaction after reversal for,97.09803921568627
 could be the issue with my bank account course have tried to get a loanand when i try to transfer it to my mpesa the account is negative please whats the matter boniface mulili email wrote i beg return the loan limit you were offering to me email wrote you for choosing as your financial partner and giving us an opportunity to serve you our endeavor to continue improving our services to you we are carrying out a customer satisfaction survey to get your feedback about our services survey will take approximately minutes to complete feedback will help us improve our to you regards,Loans,negative,annotator_1,high,could be the issue with my bank account course have tried to get a loanand when i try to transfer it to my mpesa the account is negative please whats the matter boniface mulili email wrote i beg return the loan limit you were offering to me email wrote you for choosing as your financial partner and giving us an opportunity to serve you our endeavor to continue improving our services to you we are carrying out a customer satisfaction survey to get your feedback about our services survey will take approximately minutes to complete feedback will help us improve our to you regards,could be the issue with my bank account course have tried to get a loanand when i try to transfer it to my mpesa the account is negative please whats the matter boniface mulili email wrote i beg return the loan limit you were offering to me email wrote you for choosing as your financial partner and giving us an opportunity to serve you our endeavor to continue improving our services to you we are carrying out a customer satisfaction survey to get your feedback about our services survey will take approximately minutes to complete feedback will help us improve our to you regards,CRM Tool,22/11/2025 00:00,Service Email,Mobile,english,name could be the issue with my bank account course have tried to get a loanand when i try to transfer it to my mpesa the account is negative please whats the matter boniface mulili email wrote i beg return the loan limit you were offering to me email wrote you for choosing as your financial partner and giving us an opportunity to serve you our endeavor to continue improving our services to you we are carrying out a customer satisfaction survey to get your feedback about our services survey will take approximately minutes to complete feedback will help us improve our to you regards,97.9009235936188
